source,name,diameter_m,velocity_km_s,distance_km,risk_factor,mitigation_strategy
NEO,(2021 KH),31.9183166414,7.2445983121,6991011.10159101,30.3,Secure critical infrastructure in potential impact zones.
NEO,(2025 JO),23.6613750114,15.5942118753,1431516.663661473,86.0,Analysis of meteor composition for chemical hazards.
NEO,(2025 JK1),30.4817557509,8.024219934,1240453.734768057,87.8,Analysis of meteor composition for chemical hazards.
NEO,(2025 JW1),38.1979432159,12.2998922472,1162986.362721719,89.2,Analysis of meteor composition for chemical hazards.
NEO,(2025 JX1),55.980913209,6.7648594334,850377.393461566,92.2,Post-impact environmental monitoring plans.
NEO,(2025 JH2),23.1227763601,5.4638041061,3786461.81411058,62.2,Reinforcement of buildings against shockwaves.
NEO,(2011 HJ7),197.7151637501,15.7792302929,2513733.535672983,100,Research into long-term planetary defense strategies.
NEO,(2025 JA1),48.3103271838,12.5592453823,1529528.745028734,86.4,Analysis of meteor composition for chemical hazards.
NEO,797455 (2011 HJ7),204.1925904549,15.7792302946,2513733.520713196,100,Research into long-term planetary defense strategies.
NEO,(2004 JP12),113.2504610618,26.6551760153,7943557.078438852,100,Research into long-term planetary defense strategies.
NEO,(2025 KB),69.8296682492,10.0321903617,3285092.242136098,70.4,Rapid response teams for search & rescue.
NEO,(2025 DT50),204.1925904549,6.3957704839,6142084.627951,71.3,Rapid response teams for search & rescue.
NEO,(2011 YU74),159.9705281956,5.0216467073,4363318.261850044,66.1,Debris shielding for satellites in orbit.
NEO,(2025 KQ1),89.9580388169,18.274602859,6945501.724121292,53.4,Fire suppression readiness in case of fireball impacts.
NEO,(2025 KR4),37.3284518745,4.974737853,3739849.436585565,62.7,Reinforcement of buildings against shockwaves.
NEO,(2002 JX8),487.5733713755,5.1377182414,4206591.948626035,100,Research into long-term planetary defense strategies.
NEO,612356 (2002 JX8),597.0902489167,5.1376950261,4206653.328632096,100,Research into long-term planetary defense strategies.
NEO,(2022 JO),40.9298335762,9.0444428986,8350773.31146464,17.0,Deploy kinetic impactor to change asteroid trajectory.
NEO,(2025 JB2),32.5117224521,9.6058351308,5150344.353238259,48.8,Emergency medical preparation for blast injuries.
NEO,(2021 HZ),50.1233372306,10.1870513294,7647451.132845832,24.8,Use nuclear devices only as last-resort deflection.
NEO,(2025 HU4),97.2836773688,24.3310921096,8031764.470526952,70.8,Rapid response teams for search & rescue.
NEO,(2025 JE),11.2212174594,6.0965970149,366503.771096768,96.3,Research into long-term planetary defense strategies.
NEO,(2025 KF),22.2864029626,11.5828553233,115160.260808556,99.0,Research into long-term planetary defense strategies.
NEO,(2025 KO),55.980913209,6.727328146,7685419.73048246,23.9,Use nuclear devices only as last-resort deflection.
NEO,(2025 KB1),52.9712204056,8.2816506031,2889257.699295863,72.1,Rapid response teams for search & rescue.
NEO,(2025 KF2),3.1771665298,8.2401781393,139790.876913641,98.6,Research into long-term planetary defense strategies.
NEO,(2025 KS6),86.3057992509,22.4360387926,4432844.171128284,86.0,Analysis of meteor composition for chemical hazards.
